神经质,严谨性,宜人性,开放性,外向性
0.2,0.775,0.875,0.625,0.475
0.225,0.775,0.75,0.875,0.8
0.45,0.675,0.725,0.775,0.7
0.375,0.825,0.6,0.6,0.775
0.2,0.8,0.85,0.75,0.7
0.675,0.85,0.85,0.7,0.425
0.475,0.7,0.725,0.65,0.325
0.3,0.775,0.675,0.7,0.7
0.2,0.7,0.625,0.375,0.475
0.725,0.7,0.575,0.85,0.7
0.1,0.775,0.35,0.775,0.75
0.6,0.5,0.875,0.775,0.75
0.675,0.625,0.65,0.45,0.3
0.4,0.9,0.775,0.825,0.775
0.05,0.85,0.875,0.8,0.55
0.225,0.75,0.9,0.775,0.925
0.4,0.825,0.9,0.625,0.525
0.125,0.925,0.9,0.85,0.8
0.225,0.875,0.85,0.625,0.625
0.1,1,0.8,0.825,0.8
0.075,0.775,0.625,0.75,0.975
0.275,0.725,0.775,0.75,0.7
0.2,0.875,0.725,0.775,0.65
0.4,0.875,0.75,0.725,0.625
0.225,0.85,0.825,0.8,0.825
0.55,0.8,0.7,0.8,0.375
0.15,0.925,0.7,0.675,0.675
0.1,0.9,0.9,0.7,0.9
0.1,0.85,0.8,0.825,0.8
0.2,0.825,0.8,0.9,0.875
0.4,0.7,0.525,0.625,0.2
0.275,0.825,0.775,0.65,0.475
0.15,0.975,0.9,0.8,0.85
0.2,0.75,0.85,0.75,0.725
0.05,0.95,0.925,0.9,0.975
0.1,0.825,0.825,0.825,0.8
0.15,0.875,0.8,0.7,0.65
0.075,1,0.975,0.775,0.725
0.1,0.8,0.8,0.75,0.8
0.125,0.9,0.825,0.95,0.55
0.3,0.925,0.8,0.7,0.85
0.125,0.875,0.75,0.875,0.925
0.125,0.9,0.9,0.85,0.55
0.2,0.95,0.725,0.65,0.725
0.225,0.925,0.9,0.475,0.85
0.425,0.7,0.65,0.65,0.625
0.4,0.75,0.575,0.875,0.8
0.175,0.6,0.775,0.675,0.725
0.225,0.75,0.725,0.5,0.525
0.3,0.925,0.775,0.475,0.675
0.1,0.9,0.85,0.875,0.875
0.275,0.75,0.65,0.55,0.625
0.225,0.75,0.7,0.55,0.6
0.1,0.825,0.8,0.95,0.8
0.05,0.925,0.975,0.825,0.85
0.15,0.925,0.775,0.625,0.375
0.375,0.8,0.775,0.8,0.825
0.475,0.85,0.775,0.85,0.725
0.15,0.825,0.95,0.9,0.85
0.025,0.875,0.975,0.925,0.775
0.15,0.875,0.925,0.8,0.8
0.075,0.775,0.8,0.85,0.475
0.275,0.925,0.85,0.475,0.3
0.175,0.85,0.825,0.8,0.7
0.3,0.775,0.7,0.75,0.675
0.45,0.65,0.7,0.6,0.4
0.225,0.8,0.8,0.5,0.425
0.3,0.775,0.675,0.7,0.825
0.75,0.25,0.7,0.675,0.3
0.1,0.825,0.8,0.375,0.625
0.125,0.725,0.775,0.85,0.75
0.55,0.8,0.85,0.875,0.65
0.8,0.75,0.55,0.6,0.575
0.475,0.675,0.8,0.6,0.65
0.375,0.9,0.725,0.825,0.475
0.725,0.725,0.825,0.475,0.3
0.075,0.95,1,0.775,0.8
0.325,0.725,0.525,0.65,0.625
0.125,0.9,0.925,0.875,0.85
0.15,0.7,0.55,0.85,0.825
0.15,0.725,0.85,0.85,0.925
0.45,0.7,0.725,0.55,0.3
0.45,0.75,0.8,0.75,0.55
0.4,0.775,0.725,0.65,0.675
0.6,0.875,0.875,0.525,0.475
0.225,0.9,0.85,0.7,0.825
0.575,0.9,0.85,0.625,0.2
0.2,0.925,0.975,0.875,0.7
0.1,0.75,0.95,0.7,0.725
0.125,0.95,0.9,0.625,0.575
0.125,0.825,0.775,0.9,0.325
0.2,0.925,0.65,0.525,0.525
0.325,1,1,0.475,0.15
0.375,0.975,0.825,0.825,0.675
0.15,0.85,0.9,0.775,0.75
0.6,0.75,0.675,0.375,0.3
0.15,0.825,0.775,0.8,0.8
0.15,0.825,0.875,0.875,0.9
0.2,0.8,0.8,0.825,0.825
0.275,0.95,0.925,0.65,0.875
